day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
11,8,2023,30,28,15,0.3,52.3,16.5,266.2,5.6,53.7,12.5,not fire,Tizi Ouzou
8,6,2023,30,31,6,2.9,67.5,15.8,118.6,2.9,39.4,5.5,not fire,Tipaza
20,6,2023,36,60,11,2.4,77.5,31.4,143.8,0.9,15.9,16.8,not fire,Bejaia
4,9,2023,45,81,6,0.9,94.4,8.9,35.3,8.7,58.0,19.4,not fire,Tipaza
31,8,2023,37,53,7,6.6,91.7,8.2,153.4,7.6,55.7,5.4,not fire,Tipaza
17,7,2023,34,53,21,8.0,86.9,5.8,14.0,8.6,43.8,1.7,not fire,Bejaia
13,9,2023,45,34,12,3.4,86.6,39.6,147.2,13.4,29.1,14.7,fire,El Tarf
16,6,2023,44,43,13,2.2,52.4,6.8,233.0,7.1,5.7,16.4,not fire,Skikda
13,8,2023,29,44,8,4.4,82.9,3.7,62.9,2.9,46.5,2.3,not fire,Bouira
31,9,2023,37,23,13,5.5,89.5,38.8,203.0,5.6,32.1,17.4,fire,Bejaia
29,7,2023,31,81,12,5.1,78.2,32.5,197.8,0.6,46.9,15.8,not fire,Bouira
19,7,2023,43,50,5,7.9,93.0,12.4,292.2,0.0,35.6,16.0,not fire,Chlef
21,6,2023,39,54,18,3.4,69.3,6.7,80.4,2.7,59.7,10.1,not fire,El Tarf
20,7,2023,34,32,5,9.4,53.8,11.8,12.4,11.2,32.1,7.0,not fire,Tipaza
12,8,2023,45,65,6,4.0,68.3,9.4,54.4,1.2,42.5,14.4,not fire,Guelma
3,8,2023,32,55,11,0.1,64.0,36.1,13.9,0.6,7.2,19.4,not fire,Bejaia
14,9,2023,31,80,13,3.5,77.2,39.2,129.3,5.4,24.8,19.0,not fire,Ain Defla
1,6,2023,32,65,11,7.3,91.4,11.3,282.3,11.9,11.7,17.3,not fire,Tipaza
12,9,2023,43,62,11,8.0,93.2,13.2,171.0,3.6,6.9,6.5,not fire,Jijel
2,6,2023,29,21,15,3.3,87.7,10.4,63.2,5.5,44.5,9.2,not fire,Bejaia
20,8,2023,41,86,24,5.4,66.7,34.7,237.8,14.9,16.9,17.8,not fire,Tizi Ouzou
4,8,2023,40,66,21,7.5,51.5,33.6,168.0,7.7,10.6,1.2,not fire,Tizi Ouzou
24,6,2023,31,65,10,9.9,70.8,15.4,67.6,13.3,48.3,11.7,not fire,Skikda
6,8,2023,33,63,22,3.6,91.5,4.9,248.7,7.4,45.5,11.8,not fire,Guelma
4,6,2023,34,56,23,9.5,68.1,39.8,121.4,10.6,33.8,6.9,not fire,El Tarf
12,6,2023,42,75,21,7.8,50.2,12.6,46.9,6.0,15.5,1.6,not fire,Ain Defla
16,6,2023,35,32,19,4.3,92.1,24.2,196.0,0.8,51.0,19.1,not fire,Skikda
29,6,2023,44,23,12,1.7,52.0,32.7,237.7,4.6,19.0,5.7,fire,Chlef
